ID,Movies,Language,Genres,Year,Avg Rating
0,102 Not Out,Hindi,"Comedy,Family,Relationships",4 May 2018 (India),5
1,12 Angry Men,English,Social,April 1957 (USA),3
2,12 Years a slave,English,"Based on true life story,Social",31 January 2014 (India),4
3,127 Hours,,,28 January 2011 (India),5
4,13B,Hindi,Horror,6 March 2009 (India),2.7
5,1920,Hindi,"Horror,Patriotism,Religion,Thriller",12 September 2008 (India),3.4
6,1920 Evil Returns,Hindi,"Horror,Revenge",2 November 2012 (India),2.133333333
7,1971,Hindi,"Social,Thriller,War",7 April 2017 (India),3.8
8,2 States,Hindi,"Comedy,Relationships,Romance",18 April 2014 (India),4
9,21,English,Based on true life story,21 September 2018 (USA),4
10,21 & Over,English,"Comedy,Slapstick",28 March 2008 (USA),4
11,22 Female Kottayam,Malayalam,"Crime,Romance,Thriller",13 April 2012 (India),4
12,3 10 to Yuma,English,"Action,Western",7 September 2007 (USA),4
13,3 A.M.,Hindi,Horror,26 September 2014 (India),5
14,3 Days to Kill,English,"Action,Comedy,Relationships,Thriller",12 February 2014 (USA),5
15,3 Idiots,Hindi,"Comedy,Romance",25 December 2009 (India),4.166666667
16,300: Rise of an Empire,English,"Action,War",7 March 2014 (India),4.166666667
17,3G,Hindi,"Horror,Social",15 March 2013 (India),4.2
18,404,Hindi,"Horror,Social",20 May 2011 (India),3.966666667
19,500 Days of Summer,English,"Comedy,Musical,Romance","July 17, 2009 (limited)",4.3
20,7 Aum Arivu,Tamil,"Action,Fantasy,Sci-fi",25 October 2011 (India),3.5
21,7 khoon maaf,Hindi,"Murder Mystery,Thriller",18 February 2011 (India),3.1
22,8x10 Tasveer,Hindi,"Murder Mystery,Thriller",3 April 2009 (India),2.833333333
23,99,Hindi,"Comedy,Crime",15 May 2009 (India),4.1
24,A Death in the Gunj,Hindi,Family,2016 (India),4.1
25,A Flying Jatt,Hindi,"Action,Adventure,Kids,Social",25 August 2016 (India),2.15
26,A Gentleman,Hindi,"Action,Comedy,Romance",25 August 2017 (India),2.7
27,A Good Day to Die Hard,English,"Action,Thriller",14 February 2013 (Sweden),3.466666667
28,A Lot Like Love,English,Romance,21 April 2005 (Israel),3.466666667
29,A Mighty Heart,English,"Biography,Social,Terrorism",22 June 2007 (USA),2.133333333
30,A Strange Love Story,English,"Biography,Social,Terrorism",20 May 2011 (India),2.1
31,A Walk Among the Tombstones,English,"Crime,Noir,Thriller",19 September 2014 (India),3.1
32,A Wednesday,Hindi,"Social,Terrorism,Thriller",5 September 2008 (India),3.866666667
33,ABCD - Any Body Can Dance,Hindi,Drama, June 19 2015 (India),4
34,ABCD - Any Body Can Dance - 2,Hindi,Drama,19 June 2015 (India),3.5
35,ARGO,English,"Based on true life story,Thriller",19 October 2012 (India),3.5
36,Aa Dekhen Zara,Hindi,"Romance,Thriller",27 March 2009 (India),3.066666667
37,Aagey Se Right,Hindi,"Comedy,Crime",4 September 2009 (India),3.1
38,Aaja Nachle,Hindi,"Melodrama,Musical,Social",30 November 2007 (India),3.1
39,Aajacha Divas Majha,Marathi,"Comedy,Politics",26 March 2013 (India),3.1
40,Aakrosh,Hindi,"Action,Thriller",15 October 2010 (India),3.233333333
41,Aamir,Hindi,"Social,Thriller",6 June 2008 (India),4.5
42,Aap Kaa Suroor,Hindi,"Melodrama,Romance,Thriller",29 June 2007 (India),2.766666667
43,Aarakshan,Hindi,"Docu-drama,Thriller",12 August 2011 (India),2.933333333
44,Aashayein,Hindi,Philosophy,27 August 2010 (India),2.433333333
45,Aashiqui 2,Hindi,"Romance,Tragedy",26 April 2013 (India),3.366666667
46,Aatma,Hindi,Horror,22 March 2013 (India),3.233333333
47,Abduction,English,"Action,Thriller",23 September 2011 (India),3.233333333
48,About Time,English,"Comedy,Relationships,Romance,Sci-fi",8 August 2013 (United Kingdom),3.233333333
49,Abraham Lincoln: Vampire Hunter,English,"Fantasy,Horror",13 July 2012 (India),3.233333333
50,Acid Factory,Hindi,"Action,Crime",9 October 2009 (India),2.666666667
51,Across the Universe,English,Musical,13 September 2007 (New York City),3.666666667
52,Action Jackson,Hindi,"Action,Revenge,Slapstick",5 December 2014 (India),2.1
53,Action Replayy,Hindi,"Comedy,Romance",5 November 2010 (India),2.1
54,[The] Adventures of Tintin - The Secret of the Unicorn,English,"Action,Adventure,Animation",27 October 2011 (Germany),3.6
55,Ae Dil Hai Mushkil,Hindi,"Relationships,Romance",28 October 2016 (India),3.233333333
56,After Earth,English,"Adventure,Relationships,Sci-fi",7 June 2013 (India),3.9
57,Agent Vinod,Hindi,Action,23 March 2012 (India),2.5
58,Aggar,Hindi,"Suspense,Thriller",14 September 2007 (India),1.966666667
59,Agneepath,Hindi,"Action,Crime,Docu-drama,Musical,Revenge",26 January 2012 (India),3.733333333
60,Agyaat,Hindi,Horror,7 August 2009 (India),2.933333333
61,Aik,Marathi,Horror,,2.933333333
62,Airlift,Hindi,Based on true life story,22 January 2016 (India),4.433333333
63,Aisha,Hindi,"Comedy,Romance",6 August 2010 (India),3.3
64,Aiyaary,Hindi,"Social,Thriller",16 February 2018 (India),3.366666667
65,Aiyyaa,Hindi,"Comedy,Romance",12 October 2012 (India),1.85
66,Ajab Gazabb Love,Hindi,"Comedy,Family,Romance,Slapstick",24 October 2012 (India),1.55
67,Ajab Prem Ki Ghazab Kahani,Hindi,"Comedy,Romance",6 November 2009 (India),2.666666667
68,Ajintha,Marathi,"History,Musical",11 May 2012 (India),3.333333333
69,Akaash Vani,Hindi,"Family,Romance,Social",25 January 2013 (India),3.7
70,Akira,Hindi,"Action,Social,Thriller","Hindi film) - Wikipediahttps://en.wikipedia.org/wiki/Akira_(2016_Hindi_film)‎CachedSimilarAkira is a 2016 Indian action drama film co-written, directed by AR Murugadoss, and produced by Suvidesh Shingade. It is a remake of the 2011 Tamil film Mouna Guru, and features Sonakshi Sinha in the titular role. Principal photography began in March 2015, and the film released worldwide on 2 September 2016.‎Plot - ‎Cast - ‎Music - ‎Box officeAkira (1988 film) - Wikipediahttps://en.wikipedia.org/wiki/Akira_(1988_film)‎CachedSimilarIn the UK, Akira was theatrically released by ICA Projects on 25 January 1991 and was re-released on 13 July 2013 celebrating the 25th anniversary of the film and again on 21 September 2016.‎Akira (manga) - ‎Akira (video game) - ‎Katsuhiro Otomo - ‎PsionicsAkira (1988) - IMDbhttps://www.imdb.com/title/tt0094625/‎CachedSimilar  Rating: 8.1/10 - 126,885 votesAnimation ... Akira (1988) .... Cowboy Bebop: The Movie ..... The date of the first 
coming of Akira is the exact same date as it was released originally in Japan. ... 
developed a familiarity with Japan's language and culture, AKIRA makes so 
much more sense, ...Naam Hai Akira (2016) - IMDbhttps://www.imdb.com/title/tt5465370/‎CachedSimilar  Rating: 5.9/10 - 3,153 votesAction .... Sonakshi Sinha in Naam Hai Akira (2016) Naam Hai Akira (2016) .... 
Akira lives in a small town India her father had taught her to fight for rights of 
women at very young age she is put in ... Release Date: ... $15,824, 9 September 
2016, Limited Release ... This movie is remake of Tamil film Mouna Guru (2011).Akira | Official Trailer | Sonakshi Sinha | AR Murugadoss - YouTube► 2:36https://www.youtube.com/watch?v=QsCkty3mpg04 Jul 2016 - 3 min - Uploaded by FoxStarHindiMurugadoss starring Sonakshi Sinha, Konkana Sen Sharma and Anurag Kashyap. Releasing ...'Akira' Movie Release Date, Latest News: 'Thor: Ragnarok' Director ...https://www.christianpost.com/.../akira-movie-release-date-latest-news-thor-ragnarok-director-promises-not-to-whitewash-cast-202775/‎Cached13 Oct 2017 ... ""Thor: Ragnarok"" director Taika Waititi says he will not whitewash the live-action 
adaptation of ""Akira."" This is after he revealed that he was ...Akira - ComingSoon.netwww.comingsoon.net/movie/akira‎CachedSimilarRelease date:TBD ... ""Akira"" is based on anime artist Katsuhiro Otomo's six-
volume graphic novel ... Get Out Director Jordan Peele Could Make Akira Movie.Akira Movie (2016) | Reviews, Cast & Release Date in - BookMyShowhttps://in.bookmyshow.com/movies/akira/ET00035923/‎Cached  Rating: 73% - 18,391 votes2 Sep 2016 ... Akira (2016), action thriller released in Hindi Hindi (English subtitle) language in 
theatre near you in . Know about Film reviews, lead cast ...Akira movie review, release date, first look, synopsis ... - Times of Indiahttps://timesofindia.indiatimes.com/.../Akira-movie...release-date.../53570644.cms‎CachedSimilar28 Jan 2017 ... Synopsis: Akira' is an action drama as well as the remake of the Tamil film Mouna 
Guru. The film sees Sonakshi's character coming to Mumbai ...Akira Creator Katsuhiro Otomo's 'One Major Condition' for the Live ...www.ign.com/.../akira-creator-katsuhiro-otomos-one-major-condition-for-the-live-action-movie‎Cached1 Jun 2017 ... If Katsuhiro Otomo was adapting Akira into a live-action film, he said ... not yet 
seen the Paramount's recently released live-action adaptation of ...",2.7
71,Aladin,Hindi,"Action,Adventure,Comedy",30 October 2009 (India),2.833333333
72,Alice In wonderland,English,Fantasy,25 February 2010 (United Kingdom),2.833333333
73,Aligarh,Hindi,Social,26 February 2016 (India),4.766666667
74,All Is Well,Hindi,"Family,Slapstick",21 August 2015 (India),2.2
75,All the Best,Hindi,"Action,Comedy",16 October 2009 (India),2.866666667
